ρ	Permutation_Entropy	Pattern_Probabilities
28.24	0.9595791488786296	0.010050251256281407,0.05628140703517588,0.07738693467336684,0.09447236180904522,0.07939698492462312,0.035175879396984924,0.09447236180904522,0.05829145728643216,0.05628140703517588,0.11557788944723618,0.0371859296482412,0.05829145728643216,0.0914572864321608,0.06030150753768844,0.05728643216080402,0.018090452261306532
28.24	0.95308717065352	0.016080402010050253,0.05025125628140704,0.07236180904522613,0.09045226130653267,0.07839195979899498,0.031155778894472363,0.12060301507537688,0.044221105527638194,0.05025125628140704,0.11256281407035176,0.0371859296482412,0.0743718592964824,0.08442211055276382,0.08040201005025126,0.044221105527638194,0.01306532663316583
28.24	0.9457734589538231	0.006030150753768844,0.05025125628140704,0.062311557788944726,0.09849246231155778,0.05728643216080402,0.03015075376884422,0.11758793969849246,0.0592964824120603,0.05025125628140704,0.11055276381909548,0.02512562814070352,0.07939698492462312,0.10251256281407035,0.0743718592964824,0.0592964824120603,0.017085427135678392
28.24	0.9495792012698937	0.01407035175879397,0.06030150753768844,0.0763819095477387,0.09346733668341708,0.07939698492462312,0.02512562814070352,0.10854271356783919,0.053266331658291456,0.06030150753768844,0.11055276381909548,0.027135678391959798,0.06834170854271357,0.0914572864321608,0.07035175879396985,0.053266331658291456,0.008040201005025126
28.24	0.9603081262103883	0.018090452261306532,0.0743718592964824,0.06934673366834171,0.09447236180904522,0.06432160804020101,0.02613065326633166,0.08241206030150754,0.07537688442211055,0.0743718592964824,0.08944723618090453,0.021105527638190954,0.062311557788944726,0.10050251256281408,0.05728643216080402,0.07537688442211055,0.01507537688442211
28.24	0.9440783333988105	0.018090452261306532,0.07035175879396985,0.07135678391959799,0.11155778894472362,0.06834170854271357,0.023115577889447236,0.09045226130653267,0.06633165829145729,0.07035175879396985,0.11155778894472362,0.020100502512562814,0.04623115577889447,0.1135678391959799,0.04321608040201005,0.06633165829145729,0.009045226130653266
28.24	0.9636920273654566	0.01507537688442211,0.05829145728643216,0.0763819095477387,0.0864321608040201,0.07537688442211055,0.031155778894472363,0.09849246231155778,0.0592964824120603,0.05829145728643216,0.1035175879396985,0.03015075376884422,0.07236180904522613,0.0864321608040201,0.07135678391959799,0.0592964824120603,0.018090452261306532
28.24	0.9505679368626022	0.010050251256281407,0.06934673366834171,0.062311557788944726,0.09849246231155778,0.06432160804020101,0.021105527638190954,0.10452261306532663,0.06532663316582915,0.06934673366834171,0.09246231155778895,0.023115577889447236,0.07135678391959799,0.09748743718592964,0.07336683417085427,0.06532663316582915,0.012060301507537688
28.24	0.9555480205080135	0.012060301507537688,0.062311557788944726,0.07236180904522613,0.09045226130653267,0.07336683417085427,0.027135678391959798,0.09748743718592964,0.06532663316582915,0.062311557788944726,0.10050251256281408,0.02814070351758794,0.07236180904522613,0.08944723618090453,0.07336683417085427,0.06432160804020101,0.009045226130653266
28.24	0.9535081779030161	0.01407035175879397,0.062311557788944726,0.07336683417085427,0.09447236180904522,0.07537688442211055,0.02613065326633166,0.10653266331658291,0.05527638190954774,0.062311557788944726,0.10552763819095477,0.02814070351758794,0.06733668341708543,0.09246231155778895,0.07035175879396985,0.05628140703517588,0.010050251256281407
