a	Permutation_Entropy	Pattern_Probabilities
0.2025	0.7297553453504264	0.0,0.135678391959799,0.0010050251256281408,0.18693467336683417,0.0010050251256281408,0.0,0.0743718592964824,0.11256281407035176,0.135678391959799,0.05226130653266332,0.0,0.0,0.18693467336683417,0.0,0.1135678391959799,0.0
0.2025	0.7286750929953459	0.0,0.13869346733668342,0.0010050251256281408,0.1879396984924623,0.0010050251256281408,0.0,0.07738693467336684,0.10954773869346733,0.13869346733668342,0.04924623115577889,0.0,0.0,0.18693467336683417,0.0,0.10954773869346733,0.0
0.2025	0.73261936731344	0.0,0.13768844221105528,0.0020100502512562816,0.18592964824120603,0.0020100502512562816,0.0,0.07336683417085427,0.11256281407035176,0.13668341708542714,0.05125628140703518,0.0,0.0,0.18592964824120603,0.0,0.11256281407035176,0.0
0.2025	0.7375848303069059	0.0,0.13768844221105528,0.004020100502512563,0.1849246231155779,0.004020100502512563,0.0,0.07035175879396985,0.1135678391959799,0.13768844221105528,0.05025125628140704,0.0,0.0,0.18391959798994975,0.0,0.1135678391959799,0.0
0.2025	0.734624693482332	0.0,0.13969849246231156,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.0743718592964824,0.11155778894472362,0.13969849246231156,0.04824120603015075,0.0,0.0,0.1849246231155779,0.0,0.11055276381909548,0.0
0.2025	0.7284025903103116	0.0,0.13969849246231156,0.0010050251256281408,0.18693467336683417,0.0010050251256281408,0.0,0.07738693467336684,0.10954773869346733,0.13969849246231156,0.04824120603015075,0.0,0.0,0.18693467336683417,0.0,0.10954773869346733,0.0
0.2025	0.7316236048180779	0.0,0.1407035175879397,0.0020100502512562816,0.18693467336683417,0.0020100502512562816,0.0,0.07738693467336684,0.10854271356783919,0.13969849246231156,0.04824120603015075,0.0,0.0,0.18592964824120603,0.0,0.10854271356783919,0.0
0.2025	0.7322254701472508	0.0,0.13768844221105528,0.0020100502512562816,0.18693467336683417,0.0020100502512562816,0.0,0.0743718592964824,0.11155778894472362,0.13768844221105528,0.05025125628140704,0.0,0.0,0.18592964824120603,0.0,0.11155778894472362,0.0
0.2025	0.7386422073332952	0.0,0.13366834170854272,0.004020100502512563,0.1849246231155779,0.004020100502512563,0.0,0.06733668341708543,0.11758793969849246,0.13366834170854272,0.054271356783919596,0.0,0.0,0.18391959798994975,0.0,0.11658291457286432,0.0
0.2025	0.7347533063264163	0.0,0.13869346733668342,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.07336683417085427,0.11155778894472362,0.13869346733668342,0.04924623115577889,0.0,0.0,0.1849246231155779,0.0,0.11155778894472362,0.0
0.2025	0.7367120724329884	0.0,0.13165829145728644,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.06633165829145729,0.1185929648241206,0.13165829145728644,0.05728643216080402,0.0,0.0,0.1849246231155779,0.0,0.1185929648241206,0.0
0.2025	0.7359650979157684	0.0,0.13366834170854272,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.06834170854271357,0.11658291457286432,0.13366834170854272,0.054271356783919596,0.0,0.0,0.1849246231155779,0.0,0.11658291457286432,0.0
0.2025	0.7383110242139138	0.0,0.12663316582914572,0.004020100502512563,0.18391959798994975,0.004020100502512563,0.0,0.05628140703517588,0.12663316582914572,0.12663316582914572,0.061306532663316586,0.0,0.0,0.18391959798994975,0.0,0.12663316582914572,0.0
0.2025	0.7333495318447244	0.0,0.14271356783919598,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.07738693467336684,0.10753768844221105,0.14271356783919598,0.04522613065326633,0.0,0.0,0.1849246231155779,0.0,0.10753768844221105,0.0
0.2025	0.7325081814553924	0.0,0.13668341708542714,0.0020100502512562816,0.18693467336683417,0.0020100502512562816,0.0,0.07336683417085427,0.11256281407035176,0.13668341708542714,0.05125628140703518,0.0,0.0,0.18592964824120603,0.0,0.11256281407035176,0.0
0.2025	0.7360931592309066	0.0,0.13266331658291458,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.06633165829145729,0.1185929648241206,0.13266331658291458,0.05527638190954774,0.0,0.0,0.1849246231155779,0.0,0.1185929648241206,0.0
0.2025	0.7382613637609514	0.0,0.13467336683417086,0.004020100502512563,0.1849246231155779,0.004020100502512563,0.0,0.06733668341708543,0.11658291457286432,0.13467336683417086,0.053266331658291456,0.0,0.0,0.18391959798994975,0.0,0.11658291457286432,0.0
0.2025	0.7316343215571778	0.0,0.14673366834170853,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.08241206030150754,0.1035175879396985,0.14673366834170853,0.04120603015075377,0.0,0.0,0.1849246231155779,0.0,0.10251256281407035,0.0
0.2025	0.7280598544815222	0.0,0.14170854271356784,0.0010050251256281408,0.18693467336683417,0.0010050251256281408,0.0,0.07939698492462312,0.10753768844221105,0.1407035175879397,0.04723618090452261,0.0,0.0,0.18693467336683417,0.0,0.10753768844221105,0.0
0.2025	0.7398271400891574	0.0,0.13869346733668342,0.005025125628140704,0.1829145728643216,0.005025125628140704,0.0,0.06934673366834171,0.1135678391959799,0.13869346733668342,0.04924623115577889,0.0,0.0,0.1829145728643216,0.0,0.11457286432160804,0.0
0.2025	0.7387512255734213	0.0,0.13266331658291458,0.004020100502512563,0.18391959798994975,0.004020100502512563,0.0,0.06532663316582915,0.1185929648241206,0.13266331658291458,0.05527638190954774,0.0,0.0,0.18391959798994975,0.0,0.11959798994974874,0.0
0.2025	0.7388045441922825	0.0,0.13266331658291458,0.004020100502512563,0.18391959798994975,0.004020100502512563,0.0,0.06633165829145729,0.11758793969849246,0.13266331658291458,0.05527638190954774,0.0,0.0,0.1849246231155779,0.0,0.1185929648241206,0.0
