μ	Permutation_Entropy	Pattern_Probabilities
1.8199990000000001	0.6114321249474901	0.0,0.020100502512562814,0.14974874371859295,0.0,0.1507537688442211,0.264321608040201,0.0,0.0,0.020100502512562814,0.12964824120603016,0.26532663316582916,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6101728168984774	0.0,0.017085427135678392,0.15577889447236182,0.0,0.15678391959798996,0.25728643216080405,0.0,0.0,0.017085427135678392,0.13869346733668342,0.25728643216080405,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6167568168217491	0.0,0.023115577889447236,0.1507537688442211,0.0,0.15175879396984926,0.2613065326633166,0.0,0.0,0.023115577889447236,0.12763819095477386,0.2623115577889447,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6241092290973388	0.0,0.02814070351758794,0.15175879396984926,0.0,0.1507537688442211,0.2592964824120603,0.0,0.0,0.02814070351758794,0.12361809045226131,0.25829145728643216,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6105699663772336	0.0,0.023115577889447236,0.14170854271356784,0.0,0.14271356783919598,0.2743718592964824,0.0,0.0,0.023115577889447236,0.11959798994974874,0.27537688442211056,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6391911504058068	0.0,0.034170854271356785,0.16482412060301507,0.0,0.16482412060301507,0.23618090452261306,0.0,0.0,0.034170854271356785,0.1306532663316583,0.23517587939698492,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6147895255118294	0.0,0.023115577889447236,0.14974874371859295,0.0,0.1487437185929648,0.26532663316582916,0.0,0.0,0.022110552763819097,0.12663316582914572,0.264321608040201,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6194892554921604	0.0,0.02512562814070352,0.1507537688442211,0.0,0.1507537688442211,0.2613065326633166,0.0,0.0,0.02512562814070352,0.12562814070351758,0.2613065326633166,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6081862803303982	0.0,0.016080402010050253,0.1577889447236181,0.0,0.15678391959798996,0.2562814070351759,0.0,0.0,0.01507537688442211,0.14170854271356784,0.2562814070351759,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.613794031451822	0.0,0.019095477386934675,0.15577889447236182,0.0,0.15678391959798996,0.2552763819095477,0.0,0.0,0.019095477386934675,0.13768844221105528,0.2562814070351759,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6111438173088662	0.0,0.017085427135678392,0.1577889447236181,0.0,0.1577889447236181,0.2542713567839196,0.0,0.0,0.017085427135678392,0.1407035175879397,0.2552763819095477,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6269444654535846	0.0,0.032160804020100506,0.14673366834170853,0.0,0.14773869346733667,0.2623115577889447,0.0,0.0,0.033165829145728645,0.11457286432160804,0.2633165829145729,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6335187606671886	0.0,0.031155778894472363,0.16080402010050251,0.0,0.16080402010050251,0.24321608040201004,0.0,0.0,0.031155778894472363,0.12964824120603016,0.24321608040201004,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6190371834265529	0.0,0.021105527638190954,0.16080402010050251,0.0,0.15979899497487438,0.2492462311557789,0.0,0.0,0.021105527638190954,0.13869346733668342,0.2492462311557789,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6280930583724137	0.0,0.027135678391959798,0.15979899497487438,0.0,0.16080402010050251,0.24522613065326634,0.0,0.0,0.027135678391959798,0.13366834170854272,0.24623115577889448,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6231574342375364	0.0,0.023115577889447236,0.1628140703517588,0.0,0.16180904522613065,0.24522613065326634,0.0,0.0,0.023115577889447236,0.13869346733668342,0.24522613065326634,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6294600065190097	0.0,0.02914572864321608,0.15879396984924624,0.0,0.1577889447236181,0.24824120603015076,0.0,0.0,0.02914572864321608,0.12864321608040202,0.24824120603015076,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6344733240206941	0.0,0.02914572864321608,0.1678391959798995,0.0,0.1678391959798995,0.23316582914572864,0.0,0.0,0.02914572864321608,0.13969849246231156,0.23316582914572864,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6334880514958784	0.0,0.02814070351758794,0.16884422110552763,0.0,0.16984924623115577,0.2321608040201005,0.0,0.0,0.02814070351758794,0.1407035175879397,0.2321608040201005,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6279382143024337	0.0,0.027135678391959798,0.15979899497487438,0.0,0.15979899497487438,0.24623115577889448,0.0,0.0,0.027135678391959798,0.13366834170854272,0.24623115577889448,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6246432852574456	0.0,0.02613065326633166,0.15678391959798996,0.0,0.15678391959798996,0.25125628140703515,0.0,0.0,0.02613065326633166,0.1306532663316583,0.2522613065326633,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6216033724542994	0.0,0.02512562814070352,0.15477386934673368,0.0,0.15376884422110554,0.2562814070351759,0.0,0.0,0.02512562814070352,0.12864321608040202,0.2562814070351759,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6246432852574456	0.0,0.02613065326633166,0.15678391959798996,0.0,0.15678391959798996,0.2522613065326633,0.0,0.0,0.02613065326633166,0.1306532663316583,0.25125628140703515,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6246432852574456	0.0,0.02613065326633166,0.15678391959798996,0.0,0.15678391959798996,0.2522613065326633,0.0,0.0,0.02613065326633166,0.1306532663316583,0.25125628140703515,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6229017548600958	0.0,0.02914572864321608,0.14773869346733667,0.0,0.14773869346733667,0.264321608040201,0.0,0.0,0.02914572864321608,0.1185929648241206,0.2633165829145729,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6166852943242693	0.0,0.024120603015075376,0.1487437185929648,0.0,0.1487437185929648,0.26532663316582916,0.0,0.0,0.024120603015075376,0.12462311557788945,0.264321608040201,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6244498068893501	0.0,0.027135678391959798,0.15577889447236182,0.0,0.15477386934673368,0.2542713567839196,0.0,0.0,0.02613065326633166,0.12864321608040202,0.25326633165829143,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6260672029453969	0.0,0.03015075376884422,0.1507537688442211,0.0,0.14974874371859295,0.2592964824120603,0.0,0.0,0.03015075376884422,0.12060301507537688,0.2592964824120603,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6219590413335181	0.0,0.023115577889447236,0.15979899497487438,0.0,0.15979899497487438,0.24824120603015076,0.0,0.0,0.023115577889447236,0.13668341708542714,0.2492462311557789,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6169016488918935	0.0,0.020100502512562814,0.15879396984924624,0.0,0.15979899497487438,0.25125628140703515,0.0,0.0,0.020100502512562814,0.13869346733668342,0.25125628140703515,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.622074527421094	0.0,0.02814070351758794,0.14773869346733667,0.0,0.1487437185929648,0.2633165829145729,0.0,0.0,0.02814070351758794,0.12060301507537688,0.2633165829145729,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6198741960715024	0.0,0.023115577889447236,0.15577889447236182,0.0,0.15678391959798996,0.2542713567839196,0.0,0.0,0.023115577889447236,0.13266331658291458,0.2542713567839196,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6209664122411064	0.0,0.022110552763819097,0.16080402010050251,0.0,0.16080402010050251,0.24824120603015076,0.0,0.0,0.022110552763819097,0.13869346733668342,0.24723618090452262,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.5996823499747729	0.0,0.018090452261306532,0.13869346733668342,0.0,0.13869346733668342,0.28241206030150756,0.0,0.0,0.018090452261306532,0.12060301507537688,0.2834170854271357,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6228111096149361	0.0,0.02512562814070352,0.15678391959798996,0.0,0.15577889447236182,0.25326633165829143,0.0,0.0,0.02512562814070352,0.1306532663316583,0.25326633165829143,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6261005028539954	0.0,0.02512562814070352,0.16180904522613065,0.0,0.1628140703517588,0.2442211055276382,0.0,0.0,0.02512562814070352,0.13668341708542714,0.2442211055276382,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6110302582104293	0.0,0.019095477386934675,0.15376884422110554,0.0,0.1527638190954774,0.2613065326633166,0.0,0.0,0.018090452261306532,0.13467336683417086,0.26030150753768844,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6238223074648487	0.0,0.024120603015075376,0.15979899497487438,0.0,0.16080402010050251,0.24723618090452262,0.0,0.0,0.024120603015075376,0.13668341708542714,0.24723618090452262,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6337626428597424	0.0,0.03015075376884422,0.16381909547738693,0.0,0.16381909547738693,0.23919597989949748,0.0,0.0,0.03015075376884422,0.13366834170854272,0.23919597989949748,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.5965369409612294	0.0,0.01507537688442211,0.14170854271356784,0.0,0.14170854271356784,0.2804020100502513,0.0,0.0,0.01507537688442211,0.12562814070351758,0.2804020100502513,0.0,0.0,0.0,0.0,0.0
