β	Permutation_Entropy	Pattern_Probabilities
2.115	0.9756890328465744	0.10452261306532663,0.09346733668341708,0.10150753768844221,0.04120603015075377,0.08944723618090453,0.054271356783919596,0.05125628140703518,0.04221105527638191,0.09447236180904522,0.04924623115577889,0.04221105527638191,0.05125628140703518,0.054271356783919596,0.03919597989949749,0.04221105527638191,0.04924623115577889
2.115	0.9683647358361792	0.12562814070351758,0.09447236180904522,0.09346733668341708,0.05025125628140704,0.09547738693467336,0.05125628140703518,0.05527638190954774,0.035175879396984924,0.09346733668341708,0.04924623115577889,0.053266331658291456,0.04020100502512563,0.04824120603015075,0.04221105527638191,0.035175879396984924,0.0371859296482412
2.115	0.9851814856007182	0.08442211055276382,0.09045226130653267,0.08944723618090453,0.05628140703517588,0.08743718592964825,0.04824120603015075,0.06030150753768844,0.04723618090452261,0.09045226130653267,0.05527638190954774,0.04723618090452261,0.05025125628140704,0.05829145728643216,0.04924623115577889,0.04723618090452261,0.03819095477386935
2.115	0.98409171176469	0.07839195979899498,0.08542713567839195,0.09246231155778895,0.04120603015075377,0.09246231155778895,0.07135678391959799,0.044221105527638194,0.04723618090452261,0.08542713567839195,0.04723618090452261,0.07236180904522613,0.05025125628140704,0.04020100502512563,0.05125628140703518,0.04723618090452261,0.053266331658291456
2.115	0.9789027544632178	0.10050251256281408,0.09346733668341708,0.09246231155778895,0.05527638190954774,0.09045226130653267,0.04824120603015075,0.05628140703517588,0.044221105527638194,0.09246231155778895,0.054271356783919596,0.04623115577889447,0.04522613065326633,0.05728643216080402,0.04321608040201005,0.044221105527638194,0.036180904522613064
2.115	0.981592599594175	0.10854271356783919,0.0864321608040201,0.08743718592964825,0.05025125628140704,0.08944723618090453,0.04522613065326633,0.03919597989949749,0.05728643216080402,0.0864321608040201,0.05125628140703518,0.04723618090452261,0.04623115577889447,0.04824120603015075,0.04824120603015075,0.05728643216080402,0.05125628140703518
2.115	0.9671857966181837	0.13266331658291458,0.09346733668341708,0.09849246231155778,0.044221105527638194,0.08844221105527639,0.04824120603015075,0.04924623115577889,0.044221105527638194,0.09346733668341708,0.04924623115577889,0.0371859296482412,0.04924623115577889,0.054271356783919596,0.03819095477386935,0.044221105527638194,0.035175879396984924
2.115	0.9591093517763734	0.1185929648241206,0.09748743718592964,0.11457286432160804,0.044221105527638194,0.10452261306532663,0.04120603015075377,0.04824120603015075,0.03819095477386935,0.0964824120603015,0.061306532663316586,0.032160804020100506,0.04221105527638191,0.053266331658291456,0.033165829145728645,0.03819095477386935,0.036180904522613064
2.115	0.972338458893947	0.09748743718592964,0.09246231155778895,0.10452261306532663,0.04120603015075377,0.10050251256281408,0.061306532663316586,0.04723618090452261,0.04221105527638191,0.09346733668341708,0.053266331658291456,0.05728643216080402,0.04824120603015075,0.04623115577889447,0.044221105527638194,0.04321608040201005,0.027135678391959798
2.115	0.962165977441509	0.09045226130653267,0.10753768844221105,0.10452261306532663,0.04824120603015075,0.11055276381909548,0.05628140703517588,0.04522613065326633,0.03819095477386935,0.10753768844221105,0.04522613065326633,0.062311557788944726,0.035175879396984924,0.04221105527638191,0.04120603015075377,0.03819095477386935,0.027135678391959798
2.115	0.9636356806976617	0.11055276381909548,0.09748743718592964,0.1135678391959799,0.032160804020100506,0.10050251256281408,0.0592964824120603,0.04221105527638191,0.04221105527638191,0.09748743718592964,0.04924623115577889,0.04623115577889447,0.05125628140703518,0.04623115577889447,0.03819095477386935,0.04221105527638191,0.031155778894472363
2.115	0.9743712576567857	0.09547738693467336,0.10251256281407035,0.09748743718592964,0.05025125628140704,0.09246231155778895,0.04824120603015075,0.05125628140703518,0.044221105527638194,0.10251256281407035,0.04522613065326633,0.04221105527638191,0.04522613065326633,0.05527638190954774,0.03919597989949749,0.04321608040201005,0.04522613065326633
2.115	0.9719452090450138	0.10452261306532663,0.0964824120603015,0.10552763819095477,0.04321608040201005,0.09045226130653267,0.053266331658291456,0.05125628140703518,0.04321608040201005,0.0964824120603015,0.05226130653266332,0.03819095477386935,0.05125628140703518,0.05829145728643216,0.036180904522613064,0.04321608040201005,0.036180904522613064
2.115	0.9813916173962032	0.09748743718592964,0.0964824120603015,0.0864321608040201,0.05527638190954774,0.08341708542713568,0.054271356783919596,0.04824120603015075,0.05125628140703518,0.09547738693467336,0.04623115577889447,0.05125628140703518,0.044221105527638194,0.05829145728643216,0.04120603015075377,0.05125628140703518,0.03919597989949749
2.115	0.9802643618536695	0.07939698492462312,0.09346733668341708,0.0964824120603015,0.05125628140703518,0.09849246231155778,0.054271356783919596,0.054271356783919596,0.03919597989949749,0.09447236180904522,0.054271356783919596,0.05628140703517588,0.04221105527638191,0.05025125628140704,0.04321608040201005,0.03919597989949749,0.053266331658291456
2.115	0.9564670048645173	0.12562814070351758,0.10150753768844221,0.10050251256281408,0.05728643216080402,0.10050251256281408,0.04120603015075377,0.04522613065326633,0.044221105527638194,0.10150753768844221,0.05628140703517588,0.04020100502512563,0.032160804020100506,0.05829145728643216,0.031155778894472363,0.044221105527638194,0.020100502512562814
2.115	0.9815346255025936	0.10552763819095477,0.08844221105527639,0.08944723618090453,0.05025125628140704,0.0864321608040201,0.05125628140703518,0.053266331658291456,0.04924623115577889,0.08844221105527639,0.05226130653266332,0.04824120603015075,0.05226130653266332,0.053266331658291456,0.04924623115577889,0.04924623115577889,0.033165829145728645
2.115	0.9716738355446619	0.11758793969849246,0.09949748743718594,0.08743718592964825,0.05226130653266332,0.0814070351758794,0.04824120603015075,0.035175879396984924,0.05527638190954774,0.09949748743718594,0.04020100502512563,0.04221105527638191,0.03819095477386935,0.05728643216080402,0.032160804020100506,0.05527638190954774,0.05829145728643216
2.115	0.9672803755031318	0.12663316582914572,0.09849246231155778,0.0914572864321608,0.05025125628140704,0.08743718592964825,0.04623115577889447,0.04623115577889447,0.04120603015075377,0.09949748743718594,0.04321608040201005,0.04120603015075377,0.0371859296482412,0.05527638190954774,0.032160804020100506,0.04120603015075377,0.062311557788944726
2.115	0.9768241378563028	0.0864321608040201,0.10050251256281408,0.0964824120603015,0.05628140703517588,0.09045226130653267,0.04924623115577889,0.04723618090452261,0.04824120603015075,0.10050251256281408,0.05226130653266332,0.04321608040201005,0.03919597989949749,0.062311557788944726,0.033165829145728645,0.04824120603015075,0.04623115577889447
2.115	0.9738729536644128	0.09748743718592964,0.0914572864321608,0.10251256281407035,0.04924623115577889,0.10552763819095477,0.04623115577889447,0.05125628140703518,0.04020100502512563,0.09246231155778895,0.06030150753768844,0.04924623115577889,0.04221105527638191,0.04723618090452261,0.04522613065326633,0.04020100502512563,0.03919597989949749
2.115	0.9529454622096742	0.12462311557788945,0.10552763819095477,0.10954773869346733,0.04723618090452261,0.10050251256281408,0.05125628140703518,0.04623115577889447,0.032160804020100506,0.10552763819095477,0.05025125628140704,0.04221105527638191,0.032160804020100506,0.05527638190954774,0.023115577889447236,0.032160804020100506,0.04221105527638191
2.115	0.9683074098571908	0.10150753768844221,0.10150753768844221,0.10753768844221105,0.04221105527638191,0.09849246231155778,0.054271356783919596,0.04221105527638191,0.044221105527638194,0.10150753768844221,0.04824120603015075,0.04623115577889447,0.04321608040201005,0.05125628140703518,0.035175879396984924,0.044221105527638194,0.03819095477386935
